"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-05","7.16",,"0.00","0.0","0.0",,"43","31","  230","  240","16.1","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-06","5.14",,"0.00","0.0","0.0",,"49","36","  170","  270","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-07","6.71",,"0.27","0.0","0.0",,"42","36","   60","   70","15.0","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-08","4.70",,"0.03","0.0","0.0",,"62","38","  360","   30","13.0","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-09","12.30",,"1.16","9.4","2.0",,"44","19","  310","  320","23.0","36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-10","8.50",,"0.00","0.0","7.9",,"32","19","  280","  260","16.1","31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-11","4.03",,"0.00","0.0","5.1",,"48","30","  240","  240","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-12","7.16",,"0.46","0.0","2.0",,"40","30","   70","   60","17.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-13","12.30",,"0.02","0.0","2.0",,"39","31","  310","  310","28.0","48.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-14","5.37",,"0.00","0.0","2.0",,"41","28","  250","  310","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-15","6.49",,"0.00","0.0","0.0",,"47","35","  280","  280","18.1","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-16","10.51",,"0.00","0.0","0.0",,"35","28","  310","  310","17.0","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-17","8.50",,"0.00","0.0","0.0",,"41","26","  290","  290","16.1","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-18","5.82",,"0.00","0.0","0.0",,"63","35","  250","  240","16.1","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-19","5.59",,"0.00","0.0","0.0",,"65","53","  270","  330","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-20","7.38",,"0.00","0.0","0.0",,"55","39","   60","   40","18.1","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-21","5.82",,"0.00","0.0","0.0",,"47","34","  170","  240","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-22","2.91",,"0.00","0.0","0.0",,"57","42","  240","  210","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-23","3.58",,"0.00","0.0","0.0",,"65","44","  240","  240","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-24","6.04",,"0.00","0.0","0.0",,"70","58","  150","  170","14.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-25","6.71",,"0.54","0.0","0.0",,"63","44","  190","  200","19.9","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-26","8.95",,"0.00","0.0","0.0",,"44","36","  310","  300","18.1","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-27","5.59",,"0.00","0.0","0.0",,"54","35","  250","  250","16.1","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-28","4.03",,"0.00","0.0","0.0",,"59","47","  160","  160","10.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-01","6.04",,"0.12","0.0","0.0",,"70","54","  250","  260","16.1","31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-02","11.41",,"0.00","0.0","0.0",,"64","35","  270","  290","25.9","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-03","8.28",,"0.00","0.0","0.0",,"39","24","  310","  300","18.1","35.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-04","8.95",,"0.00","0.0","0.0",,"30","17","  310","  260","19.9","34.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-05","5.37",,"0.00","0.0","0.0",,"37","14","  350","  300","14.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-06","3.36",,"0.00","0.0","0.0",,"45","26","  180","  180","10.1","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-07","4.25",,"0.10","0.0","0.0",,"56","42","  160","  160","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-08","7.61",,"0.02","0.0","0.0",,"59","47","  250","  270","17.0","31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-09","8.72",,"0.00","0.0","0.0",,"61","47","  280","  270","23.0","38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-10","7.61",,"0.31","2.1","0.0",,"47","23","  310","  290","19.9","33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-11","9.62",,"0.00","0.0","1.2",,"29","17","  290","  330","18.1","32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-12","8.95",,"0.00","0.0","0.0",,"29","19","  280","  300","17.0","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-13","4.47",,"0.00","0.0","0.0",,"36","20","  170","  180","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-14","13.42",,"1.97","7.6","3.9",,"32","21","   60","   40","28.0","38.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-15","11.63",,"0.00","0.0","5.9",,"26","20","  280","  290","21.0","36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-16","7.83",,"0.00","0.0","5.1",,"39","24","  290","  280","19.9","34.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-17","6.49",,"0.00","0.0","3.9",,"47","29","  280","  290","15.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-18","8.72",,"0.08","0.0","3.1",,"39","34","   70","   60","19.9","27.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-19","8.28",,"0.00","0.0","3.1",,"47","34","   60","   70","18.1","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-20","5.14",,"0.00","0.0","0.0",,"52","33","   40","   40","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-21","4.03",,"0.00","0.0","0.0",,"59","42","  270","  270","13.0","18.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-22","11.41",,"0.00","0.0","0.0",,"50","24","  310","  310","23.9","42.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-23","4.92",,"0.00","0.0","0.0",,"42","23","  310","  310","13.0","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-24","6.26",,"0.00","0.0","0.0",,"57","36","  250","  240","15.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-25","6.71",,"0.01","0.0","0.0",,"62","42","   30","  260","16.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-26","8.28",,"0.14","0.0","0.0",,"42","37","   70","   70","18.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-27","4.25",,"0.26","0.0","0.0",,"53","37","   60","   50","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-28","5.82",,"0.72","0.0","0.0",,"46","41","   70","   60","14.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-29","7.83",,"0.00","0.0","0.0",,"60","42","   30","   40","18.1","27.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-30","5.82",,"0.01","0.0","0.0",,"52","38","   60","   60","15.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-31","10.29",,"1.51","0.0","0.0",,"43","37","   70","   60","25.9","40.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-01","7.61",,"0.00","0.0","0.0",,"48","37","   70","   60","25.9","38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-02","5.37",,"0.00","0.0","0.0",,"63","40","  290","  310","14.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-03","4.92",,"0.03","0.0","0.0",,"63","48","  170","  180","18.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-04","6.93",,"1.18","0.0","0.0",,"51","45","   80","   90","18.1","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-05","3.36",,"0.00","0.0","0.0",,"65","45","  120","  170","14.1","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-06","9.17",,"0.73","0.0","0.0",,"53","40","   60","   70","21.9","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-07","10.51",,"0.00","0.0","0.0",,"51","40","  290","  290","17.0","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-08","8.28",,"0.00","0.0","0.0",,"57","40","  310","  300","17.0","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-09","4.92",,"0.00","0.0","0.0",,"67","45","  240","  240","13.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-10","6.04",,"0.00","0.0","0.0",,"74","53","  160","  230","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-11","5.59",,"0.00","0.0","0.0",,"80","61","  260","  240","14.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-12","2.91",,"0.02","0.0","0.0",,"76","58","   40","  300","10.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-13","5.14",,"0.00","0.0","0.0",,"65","48","  350","  310","14.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-14","3.80",,"0.00","0.0","0.0",,"66","48","  180","  180","10.1","18.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-15","5.59",,"0.00","0.0","0.0",,"65","51","  180","  240","12.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-16","7.38",,"0.00","0.0","0.0",,"87","59","  310","  310","21.0","36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-17","6.71",,"0.00","0.0","0.0",,"74","58","  360","  340","14.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-18","6.93",,"0.00","0.0","0.0",,"65","47","  170","  170","15.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-19","5.59",,"0.00","0.0","0.0",,"54","45","  180","  160","16.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-20","4.03",,"0.17","0.0","0.0",,"66","50","  140","  150","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-21","7.38",,"0.29","0.0","0.0",,"53","48","   70","   50","14.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-22","3.58",,"0.11","0.0","0.0",,"57","49","   20","  310","10.1","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-23","4.92",,"0.00","0.0","0.0",,"66","46","  160","   20","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-24","3.58",,"0.00","0.0","0.0",,"60","48","   60","   60","10.1","14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-25","13.20",,"0.91","0.0","0.0",,"54","49","   70","   60","25.1","38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-26","4.92",,"0.34","0.0","0.0",,"60","53","   70","   60","18.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-27","2.91",,"0.00","0.0","0.0",,"70","57","  160","  160","16.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-28","3.13",,"0.00","0.0","0.0",,"85","58","  210","  190","12.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-29","5.14",,"0.06","0.0","0.0",,"85","64","  280","  290","23.0","36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-04-30","6.71",,"0.00","0.0","0.0",,"67","52","   80","  150","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-01","5.14",,"0.00","0.0","0.0",,"74","49","  180","  180","12.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-02","7.83",,"0.00","0.0","0.0",,"75","62","  270","  240","19.9","32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-03","8.28",,"0.00","0.0","0.0",,"65","51","  310","  310","18.1","31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-04","5.37",,"0.00","0.0","0.0",,"64","47","  170","  160","13.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-05","6.49",,"3.02","0.0","0.0",,"59","51","   70","   50","16.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-06","6.04",,"0.18","0.0","0.0",,"67","52","  180","  170","15.0","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-07","5.59",,"0.01","0.0","0.0",,"56","47","  280","  270","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-08","5.82",,"0.00","0.0","0.0",,"57","44","  290","  290","15.0","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-09","4.47",,"0.00","0.0","0.0",,"63","47","   50","   60","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-10","3.36",,"0.00","0.0","0.0",,"63","49","  330",,"6.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-11","3.58",,"0.00","0.0","0.0",,"62","51","  170",,"6.9",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-12","4.03",,"0.00","0.0","0.0",,"65","48","   80","  160","12.1","17.0"
